Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
6-Month,Test_Temporal,Temporal Test,Balanced RF,acc,Accuracy,0.8413461538461539,0.5249999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Balanced RF,recall,Sensitivity,0.8625,0.5249999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Balanced RF,specificity,Specificity,0.828125,0.5249999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Balanced RF,f1,F1,0.8070175438596491,0.5249999999999998,208,80
6-Month,Train_Fit,Train Fit,MLP,auc,AUC,0.9620382642770702,0.2999999999999999,795,259
6-Month,Train_Fit,Train Fit,MLP,acc,Accuracy,0.8779874213836478,0.2999999999999999,795,259
6-Month,Train_Fit,Train Fit,MLP,recall,Sensitivity,0.942084942084942,0.2999999999999999,795,259
6-Month,Train_Fit,Train Fit,MLP,specificity,Specificity,0.8470149253731343,0.2999999999999999,795,259
6-Month,Train_Fit,Train Fit,MLP,f1,F1,0.8341880341880342,0.2999999999999999,795,259
6-Month,Validation_OOF,Validation OOF,MLP,auc,AUC,0.8782379127528382,0.2999999999999999,795,259
6-Month,Validation_OOF,Validation OOF,MLP,acc,Accuracy,0.8150943396226416,0.2999999999999999,795,259
6-Month,Validation_OOF,Validation OOF,MLP,recall,Sensitivity,0.8571428571428571,0.2999999999999999,795,259
6-Month,Validation_OOF,Validation OOF,MLP,specificity,Specificity,0.7947761194029851,0.2999999999999999,795,259
6-Month,Validation_OOF,Validation OOF,MLP,f1,F1,0.751269035532995,0.2999999999999999,795,259
6-Month,Test_Temporal,Temporal Test,MLP,auc,AUC,0.8875,0.2999999999999999,208,80
6-Month,Test_Temporal,Temporal Test,MLP,acc,Accuracy,0.8125,0.2999999999999999,208,80
6-Month,Test_Temporal,Temporal Test,MLP,recall,Sensitivity,0.8625,0.2999999999999999,208,80
6-Month,Test_Temporal,Temporal Test,MLP,specificity,Specificity,0.78125,0.2999999999999999,208,80
6-Month,Test_Temporal,Temporal Test,MLP,f1,F1,0.7796610169491526,0.2999999999999999,208,80
6-Month,Train_Fit,Train Fit,LightGBM,auc,AUC,0.9996974586526826,0.4149999999999998,795,259
6-Month,Train_Fit,Train Fit,LightGBM,acc,Accuracy,0.9660377358490566,0.4149999999999998,795,259
6-Month,Train_Fit,Train Fit,LightGBM,recall,Sensitivity,1.0,0.4149999999999998,795,259
6-Month,Train_Fit,Train Fit,LightGBM,specificity,Specificity,0.9496268656716418,0.4149999999999998,795,259
